centre_id,class_id,document_id,document_date,day_30,day_60,day_90,day_120,day_150,day_180,day_180_and_above,document_type,as_at_date
c_01,cls_01,inv_001,2025-05-01,0.0,0.0,150.0,0.0,0.0,0.0,0.0,invoice,2025-07-07
c_02,cls_01,inv_003,2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,500.0,invoice,2025-07-07
c_03,cls_03,inv_004,2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,300.0,invoice,2025-07-07
c_01,cls_01,inv_005,2025-02-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,invoice,2025-07-07
c_03,cls_01,inv_007,2025-03-20,0.0,0.0,0.0,300.0,0.0,0.0,0.0,invoice,2025-07-07
c_01,cls_02,inv_008,2025-06-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0,invoice,2025-07-07
c_01,cls_01,cr_001,2025-05-15,0.0,100.0,0.0,0.0,0.0,0.0,0.0,credit_note,2025-07-07
c_02,cls_02,cr_002,2025-03-10,0.0,0.0,0.0,50.0,0.0,0.0,0.0,credit_note,2025-07-07
c_02,cls_03,cr_003,2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,200.0,credit_note,2025-07-07
c_01,cls_01,cr_004,2025-01-20,0.0,0.0,0.0,0.0,0.0,120.0,0.0,credit_note,2025-07-07
c_03,cls_01,cr_005,2025-06-01,0.0,200.0,0.0,0.0,0.0,0.0,0.0,credit_note,2025-07-07
c_03,cls_03,cr_006,2025-02-28,0.0,0.0,0.0,0.0,40.0,0.0,0.0,credit_note,2025-07-07
c_02,cls_01,cr_007,2025-05-05,0.0,0.0,110.0,0.0,0.0,0.0,0.0,credit_note,2025-07-07
